Sr No,Tweet,Sentiment
1,"Hysteria surrounding #coronavirus NZ daycare requesting all children who have visited a country with any confirmed cases be excluded for Neutral weeks. This includes Australia. So, despite us only visiting Adelaide where there are no confirmed cases, we are in this category ??",Positive
2,Thank you @TheOnion for dragging all of us under the artful guise of satire. V helpful #coronavirus advice ?? https://t.co/Oly95Sul5f,Negative
3,#avetmissdone is catching on faster than the #coronavirus... but no deaths yet! ??,Negative
4,They just said #Tonysnell was back from the flu... they said he shot like he had the #coronavirus ????,Neutral
5,"Forget locking them up on an island to die slowly; Jessica here has the solution ??
#CoronaVirus",Neutral
6,Please keep posted!?????? #CoronaVirus #Gensan #StElizabethHospitalInc #SEHI https://t.co/fx4cFWT6dO,Positive
7,What did Richard Jefferson say? ?? #coronavirus https://t.co/KYw9DsKi6W,Positive
8,"When that coronavirus says ""Ni Hao Ma"" me get you sick to quarantine! ???? #Coronavirus https://t.co/AFh5YVb9bW",Neutral
9,"Halt???
all??commercial??flights??from #China???? to #USA 
??#CoronaVirus??",Positive
Negative0,"BREAKING: Update on #CoronaVirus

- 78NegativeNegative infected.
- NegativeNeutral Negative67 suspected cases.
- Negative70 dead.
- NegativePositive70 in serious condition.

NegativeNeutralNeutral8% increase in infected people since last week.

Why are we not quarantining all flights from China yet??? 

This is spreading fast??

???????????????????Neutral",Neutral
NegativeNegative,"#WuhanCoronavirus #Coronavirus
A young man was recovered and discharged from a local hospital in Shanxi. BEST WISHES! ???
https://t.co/CpnHiRRo0W",Negative
NegativeNeutral,"#WuhanCoronavirus #Coronavirus
A young man was recovered and discharged from the local hospital in Shanxi. BEST WISHES! ????????? https://t.co/VxxXJZsqu6",Negative
NegativePositive,"Going back to hongkong, thinking if it's safe to go back so soon?????

#coronavirus",Neutral
Negative4,Japan flies citizens home from virus-hit Wuhan https://t.co/lnpj0GzkiI via @YouTube #coronavirus ??,Negative
Negative5,#coronavirus is depopulation at its finest ??,Neutral
Negative6,"FUTURES triple digits down &amp; not too happy atm??

https://t.co/854GvOyUPJ

Seems unless a stock is #coronavirus related, best be sidelines for now or NO PLAY seems BEST PLAY???????? https://t.co/HasdW5HPer",Positive
Negative7,If #coronavirus had a face... ?????? https://t.co/PG9zpIrNeutralP9,Neutral
Negative8,Kids on tic tok frontin like they got the #coronavirus for clout ?? America,Negative
Negative9,"America has the right idea, all flights should b banned to #china until the #coronavirus is cleared #justsaying ?? https://t.co/WwWl4jlfNJ",Negative
Neutral0,ItÕs not unexpected that they react this way... and that is the truly tragic part.?? #coronavirus #inchinanow  @IntyMedia,Neutral
NeutralNegative,Who named it #coronavirus ????? https://t.co/kGyZhFSwwNegative,Positive
NeutralNeutral,"Imagine a virus came out and was named ""coronavirus"" and had the same symptoms but for computers? ??
#CoronaVirus #coronavirusec #Coronaphobia #ProtectYourPC",Positive
NeutralPositive,"Why invest in #gold? ...Iran, #coronavirus, impeachment, election year... ??????? #gotgold?",Neutral
Neutral4,"someone coughed next to me ??
But I am in south america ??
#coronavirus",Negative
Neutral5,What kinda #coronavirus screening is this..????,Positive
Neutral6,"BBC News - #Coronavirus: Whole world 'must take action', warns #WHO https://t.co/SDvNegativeYFEpB7
UPDATE PositiveHRS AGO
virus has spread across China and to at least Negative6 countries globally, including #Thailand, #France, the #US and #Australia.  6000 infected over NegativeNeutral0/NegativePositive0 deaths ??",Negative
Neutral7,"?????? #NewZealand ""#Coronavirus: Government charters Air #NZ flight to assist Wuhan departure""

""We encourage all New Zealanders in Hubei region to register on Safetravel &amp; ensure all their details are accurate and up to date.""

#coronoavirus #Neutral0Negative9nCoV #DAT
https://t.co/A4XUHrY95q",Negative
