,Sentiment,Tweet
0,Neutral,WIvsSL KieronPol
1,Neutral,Watch The Biggest Cricket Show Har Lamha Purjosh with tonight at 11 03 PM only on ARYNews Tonight Gue
2,Negative,The black batting talent that Cricket South Africa so desperately needs has been unearthed She s still a schoolgirl
3,Negative,Did you watch Wasim Khan presser today He was repeatedly talking about rebuilding trust with other cri
4,Positive,you would easily fall to the cricket
5,Neutral,Only 5 Tests old Mohammed Siraj has already shown a tremendous grasp of his craft since being thrown into the cauldron in Au
6,Neutral,thank you cricket D i like drawing u as a cricket
7,Negative,These commentators don t know the no ball law Cricket coverage is horrible IndvEng
8,Neutral,IND vs ENG Test
9,Neutral,Krishna PSL tum se naa ho paayega gully cricket karwa lo
10,Neutral,PSL 6 postponed saddest news for PSL fans and cricket lovers PSL6Postponed PSL62021
11,Neutral,Watch a powerful short documentary celebrating a magical sportsman cricket legend Bob Willis as his wife Lauren fights fo
12,Positive,CRICKET Delighted to announce our partnership with one of the most exciting brands in the industry cricket Offering high
13,Neutral,i have flowers does that work uncle cricket
14,Positive,cricket Delighted to be working with some of the best coaches in the business Top lads who are really passionate and care about
